//X Y Z isTree Original_cloud_index
9039
-2.17639756 -0.28622448 0.58818454 1.000000 0.000000
-2.16012502 -0.29145551 0.58404762 1.000000 0.000000
-2.13268733 -0.29503748 0.57689333 1.000000 0.000000
-2.12389755 -0.30108219 0.57478547 1.000000 0.000000
-2.10551453 -0.30568096 0.57008469 1.000000 0.000000
-2.08254480 -0.30947924 0.56414324 1.000000 0.000000
-2.07192707 -0.31500515 0.56154996 1.000000 0.000000
-2.07625031 -0.32278830 0.56301183 1.000000 0.000000
-2.06354880 -0.32790327 0.55986249 1.000000 0.000000
-2.04721570 -0.33234894 0.55573040 1.000000 0.000000
-2.18917942 -0.36293310 0.51230955 1.000000 0.000000
-2.04882956 -0.33966520 0.55647451 1.000000 0.000000
-2.16715765 -0.36675218 0.50744098 1.000000 0.000000
-2.05300498 -0.34743392 0.55792189 1.000000 0.000000
-2.13900685 -0.36936951 0.50113660 1.000000 0.000000
-2.04417944 -0.35299444 0.55584192 1.000000 0.000000
-2.12006688 -0.37342331 0.49698982 1.000000 0.000000
-2.02278376 -0.35628811 0.55034590 1.000000 0.000000
-2.12854385 -0.38227880 0.49927461 1.000000 0.000000
-2.00752831 -0.36054486 0.54652107 1.000000 0.000000
-2.10458064 -0.38526341 0.49395400 1.000000 0.000000
-2.00467920 -0.36697552 0.54607737 1.000000 0.000000
-2.08790660 -0.38945049 0.49034426 1.000000 0.000000
-2.00092793 -0.37322661 0.54539329 1.000000 0.000000
-2.08090186 -0.39536813 0.48900777 1.000000 0.000000
-1.99816048 -0.37964734 0.54498285 1.000000 0.000000
-2.06497455 -0.39951995 0.48557693 1.000000 0.000000
-1.98386610 -0.38382751 0.54143214 1.000000 0.000000
-2.05560660 -0.40486223 0.48369053 1.000000 0.000000
-1.98193502 -0.39035222 0.54125923 1.000000 0.000000
-2.19285798 -0.43953711 0.43472600 1.000000 0.000000
-2.05749464 -0.41240484 0.48445746 1.000000 0.000000
-1.98017931 -0.39690775 0.54114020 1.000000 0.000000
-2.14644074 -0.43772405 0.42581251 1.000000 0.000000
-2.05201697 -0.41846818 0.48349532 1.000000 0.000000
-1.97851610 -0.40347913 0.54105228 1.000000 0.000000
-2.14083242 -0.44406182 0.42499289 1.000000 0.000000
-2.03093863 -0.42126709 0.47885892 1.000000 0.000000
-1.96553433 -0.40770063 0.53787303 1.000000 0.000000
-2.13074303 -0.44942558 0.42328671 1.000000 0.000000
-2.03213334 -0.42862639 0.47947678 1.000000 0.000000
-1.96761227 -0.41501734 0.53881943 1.000000 0.000000
-2.10524797 -0.45142585 0.41852027 1.000000 0.000000
-2.01713252 -0.43253139 0.47627690 1.000000 0.000000
-1.96135998 -0.42057213 0.53749043 1.000000 0.000000
-2.10283923 -0.45828930 0.41834456 1.000000 0.000000
-2.01264644 -0.43863285 0.47556224 1.000000 0.000000
-1.97602451 -0.43065152 0.54190171 1.000000 0.000000
-2.07592273 -0.45971927 0.41329399 1.000000 0.000000
-1.99457943 -0.44170558 0.47164050 1.000000 0.000000
-1.95744038 -0.43348101 0.53720081 1.000000 0.000000
-2.07642817 -0.46713999 0.41370416 1.000000 0.000000
-2.00476432 -0.45101759 0.47440374 1.000000 0.000000
-1.94738591 -0.43810898 0.53484160 1.000000 0.000000
-2.07475448 -0.47407734 0.41368502 1.000000 0.000000
-2.00577235 -0.45831504 0.47500321 1.000000 0.000000
-1.93968940 -0.44321522 0.53313285 1.000000 0.000000
-2.06033587 -0.47805691 0.41112736 1.000000 0.000000
-1.99706042 -0.46337521 0.47330537 1.000000 0.000000
-1.94245362 -0.45070487 0.53430498 1.000000 0.000000
-2.18294334 -0.51422447 0.35520703 1.000000 0.000000
-2.05437016 -0.48393714 0.41025844 1.000000 0.000000
-1.98892093 -0.46851963 0.47174594 1.000000 0.000000
-1.95574009 -0.46070337 0.53838152 1.000000 0.000000
-2.16661358 -0.51805115 0.35283047 1.000000 0.000000
-2.04471087 -0.48890343 0.40865451 1.000000 0.000000
-1.97636497 -0.47256151 0.46914101 1.000000 0.000000
-1.94405401 -0.46483576 0.53559053 1.000000 0.000000
-2.15526962 -0.52298433 0.35126674 1.000000 0.000000
-2.03285527 -0.49327996 0.40661332 1.000000 0.000000
-1.98677778 -0.48209912 0.47199377 1.000000 0.000000
-1.94106495 -0.47100672 0.53519911 1.000000 0.000000
-2.11853766 -0.52159858 0.34556320 1.000000 0.000000
-2.02833629 -0.49939042 0.40604210 1.000000 0.000000
-1.98451972 -0.48860246 0.47184387 1.000000 0.000000
