//X Y Z isTree
9804
2.67096591 -2.46010065 -0.44586378 1.000000
2.67130184 -2.46041012 -0.31773484 1.000000
2.68255663 -2.47077632 -0.19113259 1.000000
2.66872954 -2.45804095 -0.06333097 1.000000
2.67183185 -2.46089816 0.06340458 1.000000
2.68072844 -2.46909237 0.19100232 1.000000
2.67934918 -2.46782207 0.31869200 1.000000
2.68349195 -2.47163773 0.44795474 1.000000
2.68262649 -2.47084069 0.57764739 1.000000
2.68615484 -2.47409058 0.70986110 1.000000
2.64336848 -2.41835093 -0.43990093 1.000000
2.65124106 -2.42555332 -0.31437963 1.000000
2.65395570 -2.42803693 -0.18851368 1.000000
2.64625359 -2.42099071 -0.06260462 1.000000
2.65194178 -2.42619443 0.06273919 1.000000
2.66132665 -2.43478060 0.18903725 1.000000
2.65644574 -2.43031526 0.31499684 1.000000
2.65259004 -2.42678761 0.44143558 1.000000
2.65773821 -2.43149757 0.57052952 1.000000
2.65758896 -2.43136096 0.70015383 1.000000
2.62773871 -2.38791656 -0.43596506 1.000000
2.63475895 -2.39429617 -0.31147158 1.000000
2.63630342 -2.39569974 -0.18668821 1.000000
2.63562846 -2.39508629 -0.06216292 1.000000
2.64168239 -2.40058780 0.06230570 1.000000
2.64095926 -2.39993072 0.18701792 1.000000
2.64584637 -2.40437174 0.31278229 1.000000
2.63958025 -2.39867735 0.43792966 1.000000
2.62932348 -2.38935661 0.56270695 1.000000
2.64151382 -2.40043449 0.69379455 1.000000
2.62158132 -2.36632180 -0.43362477 1.000000
2.62349582 -2.36804962 -0.30919975 1.000000
2.62807560 -2.37218356 -0.18554130 1.000000
2.62573886 -2.37007451 -0.06174190 1.000000
2.62927175 -2.37326336 0.06182497 1.000000
2.62962580 -2.37358308 0.18565075 1.000000
2.63001013 -2.37392974 0.30996752 1.000000
2.62637711 -2.37065053 0.43441802 1.000000
2.62767935 -2.37182593 0.56065005 1.000000
2.62491131 -2.36932731 0.68734354 1.000000
2.61502290 -2.34453869 -0.43123731 1.000000
2.61213064 -2.34194565 -0.30693310 1.000000
2.61292696 -2.34265947 -0.18391624 1.000000
2.62002301 -2.34902143 -0.06142195 1.000000
2.61225247 -2.34205484 0.06123979 1.000000
2.62339616 -2.35204601 0.18465315 1.000000
2.61876941 -2.34789777 0.30771318 1.000000
2.61604738 -2.34545732 0.43140626 1.000000
2.62173319 -2.35055494 0.55769670 1.000000
2.62052751 -2.34947395 0.68412906 1.000000
2.59299445 -2.30915356 -0.42632550 1.000000
2.61471272 -2.32849431 -0.30631742 1.000000
2.61026216 -2.32453084 -0.18317907 1.000000
2.60475278 -2.31962490 -0.06088131 1.000000
2.61267805 -2.32668233 0.06106654 1.000000
2.60734272 -2.32193136 0.18297420 1.000000
2.60861778 -2.32306671 0.30560341 1.000000
2.61536527 -2.32907557 0.43000358 1.000000
2.61637855 -2.32997799 0.55489278 1.000000
2.62132716 -2.33438492 0.68229073 1.000000
2.59214616 -2.29286098 -0.42491972 1.000000
2.59945107 -2.29932237 -0.30362466 1.000000
2.59324241 -2.29383063 -0.18144394 1.000000
2.59634066 -2.29657125 -0.06050437 1.000000
2.59826779 -2.29827595 0.06054928 1.000000
2.59943366 -2.29930711 0.18187714 1.000000
2.60471892 -2.30398202 0.30423996 1.000000
2.59888124 -2.29881835 0.42602375 1.000000
2.60807967 -2.30695486 0.55148917 1.000000
2.60948706 -2.30819964 0.67719072 1.000000
2.58494401 -2.27108812 -0.42248845 1.000000
2.58733153 -2.27318573 -0.30131716 1.000000
2.60073423 -2.28496122 -0.18143108 1.000000
2.59101796 -2.27642465 -0.06020213 1.000000
2.60437107 -2.28815627 0.06051239 1.000000
2.59376097 -2.27883458 0.18094462 1.000000
2.59895468 -2.28339767 0.30267075 1.000000
2.60905933 -2.29227543 0.42642993 1.000000
2.59869695 -2.28317118 0.54788339 1.000000
2.59811425 -2.28265929 0.67224944 1.000000
2.60533810 -2.28900599 0.80066001 1.000000
2.59119678 -2.26123285 -0.42226893 1.000000
2.58582520 -2.25654531 -0.30025890 1.000000
2.58823252 -2.25864601 -0.18002965 1.000000
2.59765077 -2.26686502 -0.06017931 1.000000
2.60059023 -2.26943016 0.06024741 1.000000
2.60154748 -2.27026534 0.18095578 1.000000
2.59398508 -2.26366615 0.30120644 1.000000
2.59713411 -2.26641417 0.42323652 1.000000
2.60179090 -2.27047777 0.54692763 1.000000
2.59890199 -2.26795673 0.67048198 1.000000
2.59326839 -2.26304054 0.79461455 1.000000
2.76214337 -2.41041112 0.98229879 1.000000
2.58191109 -2.23792505 -0.41953057 1.000000
2.57607508 -2.23286653 -0.29825577 1.000000
2.59501004 -2.24927878 -0.17997549 1.000000
2.58593440 -2.24141216 -0.05973344 1.000000
2.59360361 -2.24805975 0.05991060 1.000000
2.59489012 -2.24917483 0.17996718 1.000000
2.59964252 -2.25329399 0.30098438 1.000000
2.60270452 -2.25594807 0.42290926 1.000000
2.59616470 -2.25027966 0.54415590 1.000000
2.59391332 -2.24832821 0.66724646 1.000000
2.60715008 -2.25980139 0.79654199 1.000000
2.75052476 -2.38407445 0.97531873 1.000000
2.58401084 -2.22461629 -0.41865745 1.000000
2.58073592 -2.22179675 -0.29793125 1.000000
2.59160280 -2.23115206 -0.17921935 1.000000
2.58757234 -2.22768235 -0.05959842 1.000000
2.60154438 -2.23971105 0.05992023 1.000000
2.59170461 -2.23123980 0.17922640 1.000000
2.58864379 -2.22860479 0.29884419 1.000000
2.59867167 -2.23723793 0.42103276 1.000000
2.58807921 -2.22811866 0.54089230 1.000000
2.59922028 -2.23771024 0.66667789 1.000000
2.58921385 -2.22909570 0.78877431 1.000000
2.72613835 -2.34697604 0.96387571 1.000000
2.57968760 -2.20587778 -0.41675636 1.000000
2.57259560 -2.19981337 -0.29613838 1.000000
2.58474636 -2.21020341 -0.17823175 1.000000
2.57905269 -2.20533466 -0.05923155 1.000000
2.58175564 -2.20764613 0.05929362 1.000000
2.58742619 -2.21249485 0.17841654 1.000000
2.58945203 -2.21422720 0.29807875 1.000000
2.58501840 -2.21043611 0.41761759 1.000000
2.58727169 -2.21236277 0.53917027 1.000000
2.59295058 -2.21721888 0.66315931 1.000000
2.59578395 -2.21964169 0.78850418 1.000000
2.72315025 -2.32855177 0.96005344 1.000000
2.58693337 -2.19710112 -0.41673455 1.000000
2.58594394 -2.19626069 -0.29682562 1.000000
2.58371425 -2.19436693 -0.17765225 1.000000
2.57989931 -2.19112682 -0.05908194 1.000000
2.58026671 -2.19143891 0.05909035 1.000000
2.59016037 -2.19984150 0.17809547 1.000000
2.58467340 -2.19518161 0.29667979 1.000000
2.58401608 -2.19462323 0.41626459 1.000000
2.58982563 -2.19955730 0.53816259 1.000000
2.59047794 -2.20011139 0.66063660 1.000000
2.58173251 -2.19268370 0.78199828 1.000000
2.71349645 -2.30459189 0.95392048 1.000000
2.58013558 -2.17647910 -0.41446158 1.000000
2.58628297 -2.18166471 -0.29602325 1.000000
2.58274007 -2.17867613 -0.17708202 1.000000
2.58453894 -2.18019342 -0.05902045 1.000000
2.59794593 -2.19150305 0.05932662 1.000000
2.58340359 -2.17923570 0.17712751 1.000000
2.59241366 -2.18683624 0.29672495 1.000000
2.59197092 -2.18646264 0.41636276 1.000000
2.59350872 -2.18776011 0.53740072 1.000000
2.59221363 -2.18666768 0.65920585 1.000000
2.58111691 -2.17730689 0.77959627 1.000000
2.71032977 -2.28630471 0.95010710 1.000000
2.58033395 -2.16188049 -0.41332677 1.000000
2.59139252 -2.17114568 -0.29577321 1.000000
2.57536006 -2.15771317 -0.17607901 1.000000
2.58781815 -2.16815090 -0.05892900 1.000000
2.58203506 -2.16330576 0.05879731 1.000000
2.58803868 -2.16833568 0.17694585 1.000000
2.59317207 -2.17263675 0.29597634 1.000000
2.59397864 -2.17331243 0.41551241 1.000000
2.59411955 -2.17343068 0.53601426 1.000000
2.58107877 -2.16250467 0.65452671 1.000000
2.60200119 -2.18003392 0.78369200 1.000000
2.70473695 -2.26610899 0.94547778 1.000000
2.58211517 -2.14867973 -0.41245580 1.000000
2.58709240 -2.15282130 -0.29445690 1.000000
2.56699705 -2.13609910 -0.17501657 1.000000
2.59438157 -2.15888715 -0.05891330 1.000000
2.58571553 -2.15167570 0.05871652 1.000000
2.59017348 -2.15538526 0.17659673 1.000000
2.58704710 -2.15278363 0.29445174 1.000000
2.59370756 -2.15832615 0.41430750 1.000000
2.58621216 -2.15208888 0.53288645 1.000000
2.59694457 -2.16101980 0.65670902 1.000000
2.60260725 -2.16573191 0.78168315 1.000000
2.70140362 -2.24794412 0.94167256 1.000000
2.58642387 -2.13762927 -0.41199687 1.000000
2.59103274 -2.14143825 -0.29408655 1.000000
2.59602714 -2.14556623 -0.17650437 1.000000
2.59071565 -2.14117622 -0.05866670 1.000000
2.58781147 -2.13877606 0.05860094 1.000000
2.58266664 -2.13452387 0.17559598 1.000000
2.58092284 -2.13308287 0.29293907 1.000000
2.59185600 -2.14211869 0.41286215 1.000000
2.58178496 -2.13379526 0.53049713 1.000000
2.59195471 -2.14220023 0.65362722 1.000000
2.59059787 -2.14107895 0.77591574 1.000000
2.69133472 -2.22433591 0.93555778 1.000000
2.58170843 -2.11920357 -0.41011164 1.000000
2.58324385 -2.12046409 -0.29239392 1.000000
2.59320807 -2.12864304 -0.17582646 1.000000
2.58479214 -2.12173486 -0.05837115 1.000000
2.59235644 -2.12794399 0.05854197 1.000000
2.59538889 -2.13043332 0.17597434 1.000000
2.58276677 -2.12007236 0.29233992 1.000000
2.60507822 -2.13838673 0.41382396 1.000000
2.59831953 -2.13283896 0.53242224 1.000000
2.58740759 -2.12388182 0.65068114 1.000000
2.60123205 -2.13522959 0.77695221 1.000000
2.69300771 -2.21056390 0.93355763 1.000000
2.59255910 -2.11360097 -0.41070727 1.000000
2.58713365 -2.10917783 -0.29203212 1.000000
2.59319353 -2.11411834 -0.17534390 1.000000
2.59259152 -2.11362743 -0.05838691 1.000000
2.59479594 -2.11542463 0.05843656 1.000000
2.58090234 -2.10409760 0.17451280 1.000000
2.58193398 -2.10493875 0.29144517 1.000000
2.60574245 -2.12434888 0.41279575 1.000000
2.59819412 -2.11819506 0.53093833 1.000000
2.59745264 -2.11759043 0.65141815 1.000000
2.60350204 -2.12252212 0.77550024 1.000000
2.69503045 -2.19714141 0.93169987 1.000000
2.59041476 -2.09743428 -0.40925118 1.000000
2.58531380 -2.09330416 -0.29103282 1.000000
2.59951925 -2.10480618 -0.17529346 1.000000
2.59220600 -2.09888482 -0.05821942 1.000000
2.58853722 -2.09591413 0.05813703 1.000000
2.60158706 -2.10648060 0.17543291 1.000000
2.59485006 -2.10102558 0.29210633 1.000000
2.59637332 -2.10225892 0.41019258 1.000000
2.60206032 -2.10686350 0.53028184 1.000000
2.59238052 -2.09902620 0.64837748 1.000000
2.59812474 -2.10367703 0.77179331 1.000000
2.68548155 -2.17440915 0.92587322 1.000000
2.58922863 -2.08214021 -0.40795863 1.000000
2.60141778 -2.09194231 -0.29205444 1.000000
2.60364008 -2.09372926 -0.17509697 1.000000
2.59266520 -2.08490372 -0.05807241 1.000000
2.59905863 -2.09004498 0.05821561 1.000000
2.57727075 -2.07252431 0.17332362 1.000000
2.59078574 -2.08339238 0.29086083 1.000000
2.58865571 -2.08167958 0.40786833 1.000000
2.59647369 -2.08796644 0.52771372 1.000000
2.60522842 -2.09500670 0.64983040 1.000000
2.59856462 -2.08964777 0.76983833 1.000000
2.69188952 -2.16469550 0.92557496 1.000000
2.59637570 -2.07359147 -0.40798700 1.000000
2.58972311 -2.06827855 -0.28996137 1.000000
2.60231233 -2.07833290 -0.17453808 1.000000
2.59814930 -2.07500815 -0.05803909 1.000000
2.59586287 -2.07318211 0.05798801 1.000000
2.59167433 -2.06983685 0.17382459 1.000000
2.60804653 -2.08291245 0.29201296 1.000000
2.59950757 -2.07609272 0.40847912 1.000000
2.61201692 -2.08608341 0.52944821 1.000000
2.59184289 -2.06997156 0.64475685 1.000000
2.59467864 -2.07223630 0.76662451 1.000000
2.70820737 -2.16290569 0.92868698 1.000000
2.59356189 -2.05714011 -0.40645874 1.000000
2.60640383 -2.06732607 -0.29105133 1.000000
2.59561777 -2.05877066 -0.17362513 1.000000
2.60776949 -2.06840920 -0.05809874 1.000000
2.61020064 -2.07033753 0.05815291 1.000000
2.59912729 -2.06155443 0.17385988 1.000000
2.59087348 -2.05500770 0.28931707 1.000000
2.59968925 -2.06200027 0.40741900 1.000000
2.60799360 -2.06858706 0.52722394 1.000000
2.61048722 -2.07056475 0.64766425 1.000000
2.60850906 -2.06899595 0.76865691 1.000000
2.69393206 -2.13675094 0.92132986 1.000000
2.61082911 -2.05661297 -0.40808186 1.000000
2.59742856 -2.04605699 -0.28928140 1.000000
2.60788155 -2.05429125 -0.17398377 1.000000
2.60498285 -2.05200768 -0.05788305 1.000000
2.60118222 -2.04901385 0.05779861 1.000000
2.60618448 -2.05295444 0.17387055 1.000000
2.60464716 -2.05174327 0.29008535 1.000000
2.60682631 -2.05345988 0.40745625 1.000000
2.59976244 -2.04789567 0.52416897 1.000000
2.60587788 -2.05271292 0.64480948 1.000000
2.60206652 -2.04971051 0.76472902 1.000000
2.70513964 -2.13090372 0.92271423 1.000000
2.59820557 -2.03258944 -0.40504131 1.000000
2.60956287 -2.04147458 -0.28986889 1.000000
2.60863376 -2.04074764 -0.17357650 1.000000
2.61603880 -2.04654050 -0.05797593 1.000000
2.60991645 -2.04175115 0.05784025 1.000000
2.59978199 -2.03382277 0.17298751 1.000000
2.61083603 -2.04247046 0.29001030 1.000000
2.59904766 -2.03324842 0.40517259 1.000000
2.61157084 -2.04304528 0.52516574 1.000000
2.60992169 -2.04175520 0.64411259 1.000000
2.60615349 -2.03880715 0.76391691 1.000000
2.70288849 -2.11448359 0.91952306 1.000000
2.60589051 -2.02455401 -0.40517884 1.000000
2.61265182 -2.02980709 -0.28945443 1.000000
2.61728740 -2.03340864 -0.17369768 1.000000
2.61196876 -2.02927637 -0.05773462 1.000000
2.61838770 -2.03426337 0.05787650 1.000000
2.61356497 -2.03051639 0.17345063 1.000000
2.61571550 -2.03218722 0.28979382 1.000000
2.61217904 -2.02943969 0.40615663 1.000000
2.59438848 -2.01561809 0.52034861 1.000000
2.62481284 -2.03925514 0.64609659 1.000000
2.60867095 -2.02671432 0.76265872 1.000000
2.70350909 -2.10039544 0.91733319 1.000000
2.61516118 -2.01773262 -0.40556619 1.000000
2.61158204 -2.01497102 -0.28858578 1.000000
2.61532354 -2.01785779 -0.17311738 1.000000
2.61106110 -2.01456904 -0.05756493 1.000000
2.62122560 -2.02241158 0.05778902 1.000000
2.61931419 -2.02093673 0.17338154 1.000000
2.61591554 -2.01831460 0.28906465 1.000000
2.61516285 -2.01773381 0.40556642 1.000000
2.61967540 -2.02121544 0.52405816 1.000000
2.62665272 -2.02659869 0.64487332 1.000000
2.61571789 -2.01816201 0.76273644 1.000000
2.70646644 -2.08817935 0.91595590 1.000000
